BRA_BRAND_NO;BRA_SHORT_NAME;VIEW_TERM_PLAIN
4069;VESPA MOTO;VESPA
4070;KREIDLER M;KREIDLER
4071;DERBI MOTO;DERBI
4072;FANTIC MOT;FANTIC
4073;ITALJET MO;ITALJET
4074;JAWA MOTOR;JAWA
4075;LAVERDA MO;LAVERDA MOTORCYCLES
4076;MAICO MOTO;MAICO
4077;MOTO-MORIN;MOTO-MORINI
4078;PGO MOTORC;PGO MOTORCYCLES
4079;SANGLAS MO;SANGLAS
4080;TORNAX MOT;TORNAX
4087;HERCULES M;HERCULES
4088;SIVENTO;SIVENTO
4089;DENZA;DENZA
4090;AHWI;AHWI
4091;CARQUEST;CARQUEST
4092;GERGEN;GERGEN
4093;GLOGGER;GLOGGER
4094;GÖPPEL;GÖPPEL
4095;HUMBAUR;HUMBAUR
4096;IMS;IMS
4097;INTERLUBE;INTERLUBE
4098;KAMAG;KAMAG
4099;KEMPF;KEMPF
4100;MONTRACON;MONTRACON
4101;MOXY;MOXY
4102;PFC;PFC
4103;SCHWARZMÜL;SCHWARZMÜLLER
4104;SAELCO;SAELCO
4105;SIMON GLOS;SIMON GLOSTER SARO
4106;TAXO-OBERM;TAXO-OBERMAIER
4107;UNIPOWER;UNIPOWER
4108;ZIKUN;ZIKUN
4109;CASTROL NO;CASTROL NORDICS
4110;EUROBRAKE;EUROBRAKE
4111;STARTVOLT;STARTVOLT
4112;TRIALLI;TRIALLI
4113;MDR;MDR
4114;AVL DITEST;AVL DITEST
4115;ATH-HEINL;ATH-Heinl
4116;M SYSTEM;M SYSTEM
4117;EURO-PAL;EURO-PAL
4118;RAD-MARK;Rad-Mark
4119;KEGA;KEGA
4120;COMUNYCO;Comunyco
4121;JAB;JAB
4122;SNAP ON;Snap-On
4123;HOFMANN;HOFMANN
4124;JOHN BEAN;John Bean
4125;CARTEC;CARTEC
4126;SUN;SUN
4127;BLACKHAWK;BLACKHAWK
4128;SLIFT;SLIFT
4129;HETRA;HETRA
4130;PROCONTOUR;ProContour
4131;TEXA;TEXA
4132;FESTOOL;FESTOOL
4133;NORFI;NORFI
4134;BLITZ;BLITZ
4135;ROTARY;ROTARY
4136;CHIEF;CHIEF
4137;ELEKTRON;ELEKTRON
4138;LEITENBERG;LEITENBERGER
4139;BRAIN BEE;Brain Bee
4140;CAROLINER;CAR-O-LINER
4141;SAXON;SAXON
4142;TACHOCONTR;TachoControl
4143;SHERPA;SHERPA
4144;RAPIDGROUP;RAPID
4145;BROVEX-NEL;BROVEX-NELSON
4146;DEDAX;DEDAX
4147;GHIBAUDI;GHIBAUDI
4148;AHS;AHS PRÜFTECHNIK
4149;CONSUL;CONSUL
4150;TECFIL;FILTROS TECFIL
4151;DENNING;DENNING
4152;RUF;RUF
3090;AUTODELTA;AUTO DELTA
3091;CAUTEX/ADL;CAUTEX
3092;CEDREG/ADL;CEDREG
3093;DAIKIN/ADL;DAIKIN
3094;DOGA/ADL;DOGA
3095;DYNAM/ADL;DYNAMIC
3096;F.G.WO/ADL;F. G. WOLF
3097;FAI/ADL;FAI
3098;FI.DI./ADL;FI. DI.
3099;GIEFFE/ADL;GIEFFE
3100;GLA-VA/ADL;GLACIER-VANDERVELL
3101;GMB/ADL;GMB
3102;IVOR S/ADL;IVOR SEARLE
3103;MB/ADL;MB
3104;METALC/ADL;METALCAUCHO
3105;MOTUL/ADL;MOTUL
3106;MOVI/ADL;MOVI
3107;MRT/ADL;MRT
3108;NB/ADL;NB
